Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
University of Galway,2024,All,All,Education,560
,2024,All,All,Education,560
University of Limerick,2024,All,All,Education,1865
,2024,All,All,Education,1865
TOTAL,2024,All,All,Education,18565
ATU Donegal,2024,All,All,"Engineering, manufacturing and construction",635
ATU Galway-Mayo,2024,All,All,"Engineering, manufacturing and construction",1820
ATU Sligo,2024,All,All,"Engineering, manufacturing and construction",2815
,2024,All,All,"Engineering, manufacturing and construction",5270
Dublin City University,2024,All,All,"Engineering, manufacturing and construction",1230
,2024,All,All,"Engineering, manufacturing and construction",1230
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Dundalk IT,2024,All,All,"Engineering, manufacturing and construction",1000
,2024,All,All,"Engineering, manufacturing and construction",1000
"Mary Immaculate College, Limerick",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Maynooth University,2024,All,All,"Engineering, manufacturing and construction",380
,2024,All,All,"Engineering, manufacturing and construction",380
MTU Cork,2024,All,All,"Engineering, manufacturing and construction",3160
MTU Kerry,2024,All,All,"Engineering, manufacturing and construction",445
,2024,All,All,"Engineering, manufacturing and construction",3610
National College of Art and Design,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
National College of Ireland,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Royal College of Surgeons,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
SETU Carlow,2024,All,All,"Engineering, manufacturing and construction",1090
SETU Waterford,2024,All,All,"Engineering, manufacturing and construction",1360
,2024,All,All,"Engineering, manufacturing and construction",2450
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
TU Dublin Blanchardstown,2024,All,All,"Engineering, manufacturing and construction",405
TU Dublin City,2024,All,All,"Engineering, manufacturing and construction",4800
TU Dublin Tallaght,2024,All,All,"Engineering, manufacturing and construction",795
,2024,All,All,"Engineering, manufacturing and construction",6000
